"늘어놓다",""
"늘어서다",""
"늘어지다",""
"늙다",""
"능동적","能動的"
"능력","能力"
"늦가을",""
"늦다",""
"늦다",""
"늦어지다",""
"다",""
"다",""
"다가가다",""
"다가서다",""
"다가오다",""
"다녀가다",""
"다녀오다",""
"다니다",""
"다듬다",""
"다루다",""
"다르다",""
"다른",""
"다름없다",""
"다리","신체의 일부"
"다리","교량"
"다만",""
"다방","茶房"
"다섯",""
"다섯째",""
"다섯째",""
"다소","多少"
"다수","多數"
"다시",""
"다양성","多樣性"
"다양하다","多樣-"
"다양해지다","多樣-"
"다음",""
"다이어트","diet"
"다정하다","多情-"
"다지다",""
"다짐하다",""
"다치다",""
"다투다",""
"다툼",""
"다하다",""
"다행","多幸"
"다행히","多幸-"
"닥치다","다다르다"
"닦다",""
"단","段"
"단","單"
"단계","段階"
"단골",""
"단단하다",""
"단독","單獨"
"단맛",""
"단순","單純"
"단순하다","單純-"
"단순히","單純-"
"단어","單語"
"단위","單位"
"단점","短點"
"단지","但只"
"단지","團地"
"단체","團體"
"단추",""
"단편","短篇"
"단풍","丹楓"
"닫다",""
"닫히다",""
"달",""
"달",""
"달걀",""
"달다","단추를 ~"
"달다","무게를 ~"
"달다","빌려 다오"
"달다","돈을 다오"
"달다","맛"
"달라지다",""
"달래다",""
"달러","dollar"
"달러","dollar"
"달려가다",""
"달려들다",""
"달려오다",""
"달력","-曆"
"달리",""
"달리기",""
"달리다","문에 종이 ~"
"달리다","말을 ~"
"달리하다",""
"달빛",""
"달아나다",""
"닭",""
"닭고기",""
"닮다",""
"담","~을 쌓다"
"담그다",""
"담기다","담다"
"담다","넣다"
"담당","擔當"
"담당자","擔當者"
"담당하다","擔當-"
"담배",""
"담요",""
"담임","擔任"
"답","答"
"답답하다",""
"답변","答辯"
"답장","答狀"
"답하다","答-"
"닷새",""
"당근",""
"당기다",""
"당당하다","堂堂-"
"당분간","當分間"
"당시","當時"
"당신","當身"
"당연하다","當然-"
"당연히","當然-"
"당장","當場"
"당하다","當-"
"당황하다","唐慌-"
"닿다",""
"대","담배 한 ~"
"대","줄기"
"대","代"
"대","對. 개인 ~ 개인"
"대","臺"
"대가","代價"
"대강","大綱"
"대개","大槪"
"대개","大槪"
"대구","大邱"
"대규모","大規模"
"대기","大氣"
"대기업","大企業"
"대기하다","待機-"
"대낮",""
"대다","귀에 ~"
"대다수","大多數"
"대단하다",""
"대단히",""
"대답","對答"
"대답하다","對答-"
"대도시","大都市"
"대략","大略"
"대량","大量"
"대로",""
"대륙","大陸"
"대문","大門"
"대부분","大部分"
"대비","對備"
"대비하다","對備-"
"대사","大使"
"대사","臺詞"
"대사관","大使館"
"대상자","對象者"
"대신","代身"
"대신하다","代身-"
"대여섯",""
"대응","對應"
"대응하다","對應-"
"대입","大入"
"대전","大田"
"대접","待接"
"대접하다","待接-"
"대중","大衆"
"대중교통","大衆交通"
"대중문화","大衆文化"
"대중적","大衆的"
"대책","對策"
"대처하다","對處-"
"대체","大體"
"대체로","大體-"
"대출","貸出"
"대충",""
"대통령","大統領"
"대표","代表"
"대표적","代表的"
"대표하다","代表-"
"대하다","對-"
"대학","大學"
"대학교","大學校"
"대학교수","大學敎授"
"대학로","大學路"
"대학생","大學生"
"대학원","大學院"
"대한민국","大韓民國"
"대합실","待合室"
"대형","大型"
"대화","對話"
"대화하다","對話-"
"대회","大會"
"댁","宅"
"댐","dam"
"더",""
"더구나",""
"더더욱",""
"더러워지다",""
"더럽다",""
"더불다",""
"더욱",""
"더욱더",""
"더욱이",""
"더위",""
"더하다",""
"덕","德"
"덕분","德分"
"덕수궁","德壽宮"
"던지다",""
"덜",""
"덜다",""
"덥다",""
"덧붙이다",""
"덩어리",""
"덮다",""
"덮이다",""
"데",""
"데려가다",""
"데려오다",""
"데리다",""
"데우다",""
"데이트","date"
"도","度"
"도","道. ~를 깨치다"
"도","道. 전국 각 ~"
"도구","道具"
"도달하다","到達-"
"도대체","都大體"
"도덕","道德"
"도둑",""
"도로",""
"도로","道路"
"도리어",""
"도마",""
"도망","逃亡"
"도망가다","逃亡-"
"도망치다","逃亡-"
"도서관","圖書館"
"도시","都市"
"도시락",""
"도심","都心"
"도와주다",""
"도움",""
"도움말",""
"도입","導入"
"도자기","陶瓷器"
"도장","圖章"
"도저히","到底-"
"도전","挑戰"
"도중","途中"
"도착","到着"
"도착하다","到着-"
"도쿄(동경)","東京"
"독감","毒感"
"독립","獨立"
"독립하다","獨立-"
"독서","讀書"
"독일","獨逸"
"독일어","獨逸語"
"독창적","獨創的"
"독특하다","獨特-"
"독하다","毒-"
"돈",""
"돌","~멩이"
"돌다",""
"돌려주다",""
"돌리다","팽이를 ~"
"돌멩이",""
"돌보다",""
"돌아가다",""
"돌아다니다",""
"돌아보다",""
"돌아서다",""
"돌아오다",""
"돕다",""
"동","同"
"동","棟"
"동그라미",""
"동그랗다",""
"동기","同期"
"동기","動機"
"동네","洞-"
"동대문","東大門"
"동대문시장","東大門市場"
"동료","同僚"
"동물","動物"
"동물원","動物園"
"동부","東部"
"동생",""
"동서","東西"
"동서남북","東西南北"
"동시","同時"
"동아리",""
"동안","시간의 길이"
"동양","東洋"
"동양인","東洋人"
"동의","同意"
"동의하다","同意-"
"동일하다","同一-"
"동작","動作"
"동전","銅錢"
"동쪽","東-"
"동창","同窓"
"동포","同胞"
"동행","同行"
"동화","童話"
"동화책","童話冊"
"돼지",""
"돼지고기",""
"되게",""
"되다","어른이 ~"
"되돌리다",""
"되돌아가다",""
"되돌아보다",""
"되돌아오다",""
"되살리다",""
"되찾다",""
"되풀이되다",""
"되풀이하다",""
"된장","-醬"
"된장찌개","-醬-"
"두",""
"두껍다",""
"두께",""
